Triangle 1:  OriTri:8 List:32 17 10
Triangle 2:  OriTri:16 List:16 12 90
Triangle 3:  OriTri:24 List:40 33 26
Triangle 4:  OriTri:32 List:11 28 74
Triangle 5:  OriTri:40 List:27 648 50
Triangle 6:  OriTri:48 List:232 58 45
Triangle 7:  OriTri:56 List:218 72 52
Triangle 8:  OriTri:64 List:88 73 208
Triangle 9:  OriTri:72 List:60 68 37
Triangle 10:  OriTri:80 List:80 89 98
Triangle 11:  OriTri:88 List:67 84 21
Triangle 12:  OriTri:96 List:200 104 85
Triangle 13:  OriTri:104 List:100 112 106
Triangle 14:  OriTri:112 List:108 122 114
Triangle 15:  OriTri:120 List:193 128 116
Triangle 16:  OriTri:128 List:124 136 354
Triangle 17:  OriTri:136 List:132 146 330
Triangle 18:  OriTri:144 List:192 152 140
Triangle 19:  OriTri:152 List:148 160 314
Triangle 20:  OriTri:160 List:156 176 290
Triangle 21:  OriTri:168 List:249 178 226
Triangle 22:  OriTri:176 List:164 184 172
Triangle 23:  OriTri:184 List:180 194 202
Triangle 24:  OriTri:192 List:147 123 188
Triangle 25:  OriTri:200 List:99 210 189
Triangle 26:  OriTri:208 List:69 224 204
Triangle 27:  OriTri:216 List:753 225 59
Triangle 28:  OriTri:224 List:212 220 173
Triangle 29:  OriTri:232 List:51 682 762
Triangle 30:  OriTri:240 List:752 273 250
Triangle 31:  OriTri:248 List:256 171 245
Triangle 32:  OriTri:256 List:251 266 280
Triangle 33:  OriTri:264 List:272 386 260
Triangle 34:  OriTri:272 List:267 244 370
Triangle 35:  OriTri:280 List:261 402 288
Triangle 36:  OriTri:288 List:285 298 165
Triangle 37:  OriTri:296 List:296 312 292
Triangle 38:  OriTri:304 List:320 313 426
Triangle 39:  OriTri:312 List:300 308 157
Triangle 40:  OriTri:320 List:307 442 328
Triangle 41:  OriTri:328 List:325 338 141
Triangle 42:  OriTri:336 List:448 352 332
Triangle 43:  OriTri:344 List:344 353 474
Triangle 44:  OriTri:352 List:340 348 133
Triangle 45:  OriTri:360 List:490 368 706
Triangle 46:  OriTri:368 List:364 378 277
Triangle 47:  OriTri:376 List:506 384 372
Triangle 48:  OriTri:384 List:380 394 268
Triangle 49:  OriTri:392 List:512 400 388
Triangle 50:  OriTri:400 List:396 401 284
Triangle 51:  OriTri:408 List:538 424 410
Triangle 52:  OriTri:416 List:440 425 554
Triangle 53:  OriTri:424 List:412 420 309
Triangle 54:  OriTri:432 List:456 441 570
Triangle 55:  OriTri:440 List:419 436 324
Triangle 56:  OriTri:448 List:339 458 466
Triangle 57:  OriTri:456 List:435 586 452
Triangle 58:  OriTri:464 List:592 472 453
Triangle 59:  OriTri:472 List:468 473 349
Triangle 60:  OriTri:480 List:504 489 482
Triangle 61:  OriTri:488 List:722 484 363
Triangle 62:  OriTri:496 List:520 505 498
Triangle 63:  OriTri:504 List:483 500 379
Triangle 64:  OriTri:512 List:395 522 536
Triangle 65:  OriTri:520 List:499 521 516
Triangle 66:  OriTri:528 List:552 537 530
Triangle 67:  OriTri:536 List:517 532 411
Triangle 68:  OriTri:544 List:568 553 546
Triangle 69:  OriTri:552 List:531 548 421
Triangle 70:  OriTri:560 List:584 569 562
Triangle 71:  OriTri:568 List:547 564 437
Triangle 72:  OriTri:576 List:600 585 578
Triangle 73:  OriTri:584 List:563 580 460
Triangle 74:  OriTri:592 List:467 602 594
Triangle 75:  OriTri:600 List:579 601 596
Triangle 76:  OriTri:608 List:608 609 618
Triangle 77:  OriTri:616 List:616 624 613
Triangle 78:  OriTri:624 List:620 786 634
Triangle 79:  OriTri:632 List:674 640 629
Triangle 80:  OriTri:640 List:636 769 642
Triangle 81:  OriTri:648 List:44 656 776
Triangle 82:  OriTri:656 List:652 657 666
Triangle 83:  OriTri:664 List:664 768 661
Triangle 84:  OriTri:672 List:688 681 635
Triangle 85:  OriTri:680 List:778 676 236
Triangle 86:  OriTri:688 List:675 696 760
Triangle 87:  OriTri:696 List:692 793 704
Triangle 88:  OriTri:704 List:701 714 365
Triangle 89:  OriTri:712 List:810 720 708
Triangle 90:  OriTri:720 List:716 730 491
